n_estimators,learning_rate,num_leaves,subsample,subsample_freq,colsample_bytree,Train_RMSPE,Val_RMSPE
500,0.1,15,0.8,1,0.8,0.5175676715600274,0.195477836996008
1000,0.05,15,0.6,1,0.8,0.5068855751673615,0.1958079603967112
1000,0.05,15,0.8,1,0.8,0.5094983891197443,0.1958684844919963
1000,0.01,63,0.6,1,1.0,0.5350820325408442,0.1959319243746931
1000,0.05,15,1.0,1,0.8,0.5191058158014094,0.1966025972757539
500,0.05,31,0.8,1,0.5,0.5214750462930318,0.1979662621372717
500,0.05,31,1.0,1,0.5,0.5309371345594583,0.1983218950819365
1000,0.01,63,0.6,1,0.8,0.5220503357179475,0.1983667995402003
500,0.1,15,1.0,1,0.8,0.5070767352329812,0.1987996536915567
1000,0.01,63,0.8,1,1.0,0.5400347612304278,0.1997635733630016
1000,0.01,63,0.8,1,0.8,0.5208816384514237,0.1999610975714314
1000,0.01,63,1.0,1,1.0,0.5400714024632826,0.2000542622121605
500,0.05,31,0.6,1,0.5,0.5249600820186748,0.2001319152021266
1000,0.01,63,1.0,1,0.8,0.513210666269514,0.2019122292799021
500,0.1,15,1.0,1,0.5,0.5124478809789726,0.2059209904927256
500,0.1,15,0.6,1,0.5,0.5094623959376591,0.2067349982936655
1000,0.05,15,1.0,1,0.5,0.5084499660079701,0.2071790407269226
500,0.1,15,0.8,1,0.5,0.5106484735316421,0.2078242043393015
1000,0.05,15,0.8,1,0.5,0.5229074523588008,0.2085291767063566
1000,0.05,15,0.6,1,0.5,0.5233569030014652,0.209885196188324
1000,0.01,63,0.8,1,0.5,0.5242694762161968,0.2109591308627054
1000,0.01,63,0.6,1,0.5,0.5249274148488954,0.2117295006145013
1000,0.01,63,1.0,1,0.5,0.525010512200229,0.2124273077391641
500,0.05,15,0.6,1,1.0,0.5325649329076546,0.2411997085179991
500,0.05,15,0.8,1,1.0,0.5254794486961994,0.242230626516419
500,0.05,15,0.6,1,0.8,0.5357731146048447,0.2432054581780334
500,0.01,63,0.6,1,1.0,0.55928711832128,0.2444787311005802
500,0.01,63,0.8,1,1.0,0.563280403240006,0.244595900065714
500,0.05,15,1.0,1,1.0,0.5371231837170447,0.2446758148983118
500,0.05,15,1.0,1,0.8,0.5511987779279227,0.244796959168561
500,0.01,63,1.0,1,1.0,0.5544857042899834,0.2457392763992578
500,0.01,63,0.6,1,0.8,0.546232981859953,0.2457408178327202
500,0.05,15,0.8,1,0.8,0.5454576438394281,0.2465363643509985
500,0.01,63,0.8,1,0.8,0.5417964309364607,0.2471994037549292
500,0.01,63,1.0,1,0.8,0.5361164156960054,0.2479309424245681
