n_estimators,learning_rate,num_leaves,subsample,subsample_freq,colsample_bytree,Train_RMSPE,Val_RMSPE
1000,0.01,63,0.8,1,0.8,0.0984219750479194,0.095035282037854
1000,0.01,63,0.6,1,1.0,0.0972933486097581,0.0956261680007233
1000,0.01,63,1.0,1,0.8,0.0984595091284309,0.0958394968628898
1000,0.01,63,0.8,1,1.0,0.0967922497973407,0.0960068538509282
1000,0.01,63,1.0,1,1.0,0.0963063130387078,0.0963587760928526
1000,0.01,63,0.6,1,0.5,0.1020464471329139,0.0966617761781253
1000,0.01,63,0.8,1,0.5,0.1020411188396501,0.096865890219036
1000,0.01,63,1.0,1,0.5,0.1022319278925217,0.0969281746884935
500,0.05,15,0.6,1,0.5,0.1093300754759394,0.1028293748913277
500,0.05,15,0.8,1,1.0,0.1081687276638683,0.10312805860551
500,0.05,15,1.0,1,1.0,0.1100643724969458,0.1034125834697806
500,0.05,15,0.8,1,0.5,0.1079943717447158,0.1036216296334665
500,0.05,15,1.0,1,0.8,0.1090335138051872,0.1037488078066336
500,0.05,15,0.8,1,0.8,0.1088300160060663,0.1037514451421112
500,0.05,15,0.6,1,0.8,0.1084210850651301,0.1038154144267629
500,0.05,15,0.6,1,1.0,0.1075838468461292,0.1038156982588811
500,0.05,15,1.0,1,0.5,0.1096433729229005,0.1040435122844929
1000,0.01,31,1.0,1,0.8,0.1104902271879085,0.1045825571751788
1000,0.01,31,0.6,1,0.8,0.1098020955042582,0.104650201453207
1000,0.01,31,0.8,1,0.8,0.110038988839614,0.104899878382809
1000,0.01,31,0.6,1,1.0,0.1084873990697047,0.1051902409552124
1000,0.01,31,1.0,1,0.5,0.1135925921941442,0.1054762357030301
1000,0.01,31,1.0,1,1.0,0.1097744282760202,0.1055988119786419
1000,0.01,31,0.6,1,0.5,0.1130295127116127,0.1056902768265884
1000,0.01,31,0.8,1,0.5,0.1136165090478373,0.1057941069067039
1000,0.01,31,0.8,1,1.0,0.1084097543080918,0.1059925989032327
500,0.01,63,0.8,1,0.8,0.1139371080324102,0.1070455347612516
500,0.01,63,0.6,1,0.8,0.1139341267524423,0.1071211532884634
500,0.01,63,1.0,1,0.8,0.1144025274256831,0.1073895428984543
500,0.01,63,0.8,1,1.0,0.1119079337411823,0.1077281323163905
500,0.01,63,0.6,1,1.0,0.1121715891005806,0.1077476354412697
500,0.01,63,1.0,1,1.0,0.1126457551232571,0.1080159190639749
500,0.01,63,0.8,1,0.5,0.1196879895501695,0.1096843824201108
500,0.01,63,0.6,1,0.5,0.1203033814750319,0.1098196973986542
500,0.01,63,1.0,1,0.5,0.1198688703359239,0.109964188672064
1000,0.01,15,0.6,1,0.8,0.120268039893088,0.1125509930408042
1000,0.01,15,0.8,1,0.8,0.1202747352629148,0.1127142156589539
1000,0.01,15,1.0,1,0.8,0.1205220505226901,0.1127527298824658
1000,0.01,15,1.0,1,1.0,0.1211854249268531,0.1130639618411983
1000,0.01,15,0.6,1,1.0,0.1205275578166214,0.1130723785746694
1000,0.01,15,0.8,1,1.0,0.1212103025284054,0.1131944694948838
500,0.01,31,0.6,1,0.8,0.1226470818468094,0.1136576882418584
500,0.01,31,1.0,1,0.8,0.1231142896337839,0.1136752919940849
1000,0.01,15,0.6,1,0.5,0.1237160358992134,0.1137222114936646
500,0.01,31,0.8,1,0.8,0.1229097085701526,0.1138102424019499
1000,0.01,15,1.0,1,0.5,0.1235941420428425,0.1139460647176015
1000,0.01,15,0.8,1,0.5,0.1233381049260867,0.1139786553339364
500,0.01,31,0.8,1,1.0,0.1215589448490788,0.1141861175596762
500,0.01,31,0.6,1,1.0,0.1214603632200399,0.1141916474397017
500,0.01,31,1.0,1,1.0,0.1218996601257664,0.114231293885654
500,0.01,31,0.8,1,0.5,0.129201421760064,0.1159139853975446
500,0.01,31,1.0,1,0.5,0.1289873695208869,0.1161218459261878
